,Unnamed: 0,cik_str,ticker,title
7211,9641,895728,EBRZF,ENBRIDGE INC
7212,9642,1326160,DUKB,Duke Energy CORP
7213,9643,1951089,CRMLW,Critical Metals Corp.
7214,9644,895728,ENBFF,ENBRIDGE INC
7215,9645,1828972,BZFDW,"BuzzFeed, Inc."
7216,9646,1468929,NXGLW,"NEXGEL, INC."
7217,9647,1259429,OXSQG,Oxford Square Capital Corp.
7218,9648,1259429,OXSQZ,Oxford Square Capital Corp.
7219,9649,1588272,NXPT,"NexPoint Capital, Inc."
7220,9650,1630805,BWNB,"Babcock & Wilcox Enterprises, Inc."
7221,9651,1630805,BW-PA,"Babcock & Wilcox Enterprises, Inc."
7222,9652,1630805,BWSN,"Babcock & Wilcox Enterprises, Inc."
7223,9653,1509470,SSSSL,SURO CAPITAL CORP.
7224,9654,1834032,CSTUF,Constellation Acquisition Corp I
7225,9655,1834032,CSTWF,Constellation Acquisition Corp I
7226,9656,1819989,CIFRW,Cipher Mining Inc.
7227,9657,1840856,SOUNW,"SOUNDHOUND AI, INC."
7228,9658,1853044,AERTW,"Aeries Technology, Inc."
7229,9659,1104038,VRMEW,"VerifyMe, Inc."
7230,9660,1844452,LUNRW,"Intuitive Machines, Inc."
7231,9661,1860514,USTWF,Roth CH Acquisition Co.
7232,9662,1958217,LZM-WT,Lifezone Metals Ltd
7233,9663,1819796,GCMGW,GCM Grosvenor Inc.
7234,9664,1404912,KKRS,KKR & Co. Inc.
7235,9665,1404912,KKR-PD,KKR & Co. Inc.
7236,9666,1404912,KKRDP,KKR & Co. Inc.
7237,9667,1527469,ATHS,Athene Holding Ltd.
7238,9668,1527469,ATH-PB,Athene Holding Ltd.
7239,9669,1527469,ATH-PC,Athene Holding Ltd.
7240,9670,1527469,ATH-PD,Athene Holding Ltd.
7241,9671,1527469,ATH-PE,Athene Holding Ltd.
7242,9672,1860871,TVGNW,Tevogen Bio Holdings Inc.
7243,9673,1918661,ESHAR,ESH Acquisition Corp.
7244,9674,1995648,AFBL,AFB Ltd
7245,9675,897802,SPE-PC,"SPECIAL OPPORTUNITIES FUND, INC."
7246,9676,58411,RONN,"Lee Pharmaceuticals, Inc."
7247,9677,1569650,OZKAP,Bank OZK
7248,9678,354518,EBCOF,EBARA CORP /ADR/
7249,9679,1505880,PNDZF,Pandora A/S / ADR
7250,9680,1440130,UUGWF,United Utilities Group plc
7251,9681,1624326,PAVMZ,PAVmed Inc.
7252,9682,2028201,COLAU,Columbus Acquisition Corp/Cayman Islands
7253,9683,1915403,STXYF,SatixFy Communications Ltd.
7254,9684,913144,RNR-PG,RENAISSANCERE HOLDINGS LTD
7255,9685,1651721,GIPRW,"GENERATION INCOME PROPERTIES, INC."
7256,9686,1947861,NMHIW,Nature's Miracle Holding Inc.
7257,9687,1620179,XELAP,"Exela Technologies, Inc."
7258,9688,860748,KMPB,KEMPER Corp
7259,9689,1893311,LUXHP,LUXURBAN HOTELS INC.
7260,9690,1744676,TCMEF,Tencent Music Entertainment Group
7261,9691,1845123,ANNAW,"AleAnna, Inc."
7262,9692,1818331,WGSWW,GeneDx Holdings Corp.
7263,9693,912958,MLCMF,MILLICOM INTERNATIONAL CELLULAR SA
7264,9694,1515001,VCMIX,Versus Capital Real Estate Fund LLC
7265,9695,1297996,DLR-PL,"DIGITAL REALTY TRUST, INC."
7266,9696,1685040,BHFAM,"Brighthouse Financial, Inc."
